Format Version,1.23,Take Name,Take 2023-12-12 11.00.19 AM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2023-12-12 11.00.19.349 ,Total Frames in Take,1430,Total Exported Frames,1430,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,mano,mano,mano,mano,mano,mano,mano,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,"7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","7D898DEB935011EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D","21EC515A98D511EE83E6B7EAD028669D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
139,1.390000,,,,,,,,0.080099,-0.022057,-0.050465,-0.995264,1.578892,-0.334863,-1.003316
140,1.400000,,,,,,,,,,,,,,
141,1.410000,,,,,,,,,,,,,,
142,1.420000,,,,,,,,,,,,,,
143,1.430000,,,,,,,,,,,,,,
144,1.440000,,,,,,,,,,,,,,
145,1.450000,,,,,,,,,,,,,,
146,1.460000,,,,,,,,,,,,,,
147,1.470000,,,,,,,,,,,,,,
148,1.480000,,,,,,,,0.072292,-0.010065,-0.056704,-0.995720,1.584586,-0.333375,-1.013075
149,1.490000,,,,,,,,,,,,,,
150,1.500000,,,,,,,,,,,,,,
151,1.510000,,,,,,,,,,,,,,
152,1.520000,,,,,,,,,,,,,,
153,1.530000,,,,,,,,,,,,,,
154,1.540000,,,,,,,,0.072892,-0.024597,-0.055530,-0.995489,1.588071,-0.333822,-1.021680
155,1.550000,,,,,,,,,,,,,,
156,1.560000,,,,,,,,,,,,,,
157,1.570000,,,,,,,,,,,,,,
158,1.580000,,,,,,,,,,,,,,
159,1.590000,,,,,,,,,,,,,,
160,1.600000,,,,,,,,,,,,,,
161,1.610000,,,,,,,,,,,,,,
162,1.620000,,,,,,,,,,,,,,
163,1.630000,,,,,,,,,,,,,,
164,1.640000,,,,,,,,,,,,,,
165,1.650000,,,,,,,,,,,,,,
166,1.660000,,,,,,,,,,,,,,
167,1.670000,,,,,,,,,,,,,,
168,1.680000,,,,,,,,,,,,,,
169,1.690000,,,,,,,,0.041981,-0.062852,-0.082177,-0.993748,1.596840,-0.331647,-1.041729
170,1.700000,,,,,,,,0.037657,-0.057924,-0.080754,-0.994337,1.597583,-0.331330,-1.042848
171,1.710000,,,,,,,,,,,,,,
172,1.720000,,,,,,,,,,,,,,
173,1.730000,,,,,,,,,,,,,,
174,1.740000,,,,,,,,0.031715,-0.069592,-0.085369,-0.993410,1.599795,-0.330505,-1.048620
175,1.750000,,,,,,,,0.028902,-0.066258,-0.087468,-0.993541,1.600536,-0.330287,-1.049869
176,1.760000,,,,,,,,0.026422,-0.065774,-0.088587,-0.993543,1.601108,-0.329902,-1.051132
177,1.770000,,,,,,,,0.027486,-0.065892,-0.089183,-0.993453,1.601775,-0.329715,-1.052470
178,1.780000,,,,,,,,,,,,,,
179,1.790000,,,,,,,,,,,,,,
180,1.800000,,,,,,,,,,,,,,
181,1.810000,,,,,,,,,,,,,,
182,1.820000,,,,,,,,,,,,,,
183,1.830000,,,,,,,,0.013216,-0.064992,-0.090900,-0.993649,1.605816,-0.327675,-1.061345
